"","ID","ZY"
"1","P0001","Danggui"
"2","P0001","Baishao"
"3","P0001","Qianghuo"
"4","P0001","Qingjiu"
"5","P0002","Dahuang"
"6","P0002","Danggui"
"7","P0002","Shexiang"
"8","P0002","Mudanpi"
"9","P0002","Taoren"
"10","P0002","Honghua"
"11","P0002","Baishao"
"12","P0002","Ruxiang"
"13","P0002","Moyao"
"14","P0002","Shengdihuang"
"15","P0002","Shengdihuang"
"16","P0002","Chaihu"
"17","P0002","Huangqin"
"18","P0002","Jiqiao"
"19","P0002","Gancao"
"20","P0003","Xiangfu"
"21","P0003","Zisu"
"22","P0003","Wuyao"
"23","P0003","Chenpi"
"24","P0003","Chuangong"
"25","P0003","Danggui"
"26","P0003","Ruxiang"
"27","P0003","Moyao"
"28","P0003","Cangshu"
"29","P0003","Jiqiao"
"30","P0003","Gancao"
"31","P0004","Sanqi"
"32","P0004","Danggui"
"33","P0004","Yanhusuo"
"34","P0004","Ruxiang"
"35","P0004","Moyao"
"36","P0004","Xiejie"
"37","P0004","Sumu"
"38","P0004","Wulinzhi"
"39","P0004","Chishao"
"40","P0004","Honghua"
"41","P0005","Cangshu"
"42","P0005","Gegen"
"43","P0005","Jiegen"
"44","P0005","Danggui"
"45","P0005","Fulin"
"46","P0005","Baizhi"
"47","P0005","Jiqiao"
"48","P0005","Gancao"
"49","P0005","Chenpi"
"50","P0005","Baishao"
"51","P0006","Danggui"
"52","P0006","Zelan"
"53","P0006","Taoren"
"54","P0006","Honghua"
"55","P0006","Chuangong"
"56","P0006","Sumu"
"57","P0006","Mudanpi"
"58","P0007","Sanleng"
"59","P0007","Wushu"
"60","P0007","Chishao"
"61","P0007","Huangbai"
"62","P0007","Huanglian"
"63","P0007","Qingpi"
"64","P0007","Zisu"
"65","P0007","Yema"
"66","P0007","Xiangfu"
"67","P0007","Chaihu"
"68","P0007","Ruxiang"
"69","P0008","Yanhusuo"
"70","P0008","Danggui"
"71","P0008","Sumu"
"72","P0008","Taoren"
"73","P0008","Honghua"
"74","P0008","Chishao"
"75","P0008","Wulinzhi"
"76","P0008","Moyao"
"77","P0009","Zijinpi"
"78","P0009","Wujiapi"
"79","P0009","Chuangong"
"80","P0009","Wuyao"
"81","P0009","Rougui"
"82","P0009","Yanhusuo"
"83","P0009","Muxiang"
"84","P0009","Yujin"
"85","P0009","Qianghuo"
"86","P0009","Ruxiang"
"87","P0009","Mudanpi"
"88","P0009","Danggui"
"89","P0010","Rougui"
"90","P0010","Ruxiang"
"91","P0010","Moyao"
"92","P0010","Muxiang"
"93","P0010","Yangzhizhuo"
"94","P0010","Qianghuo"
"95","P0010","Chuangong"
"96","P0010","Yanhusuo"
"97","P0010","Zijinpi"
"98","P0010","Wujiapi"
"99","P0010","Mudanpi"
"100","P0010","Yujin"
"101","P0010","Wuyao"
"102","P0011","Ajiao"
"103","P0011","Shudihuang"
"104","P0011","Chishao"
"105","P0011","Danggui"
"106","P0011","Chuangong"
"107","P0011","Ganjiang"
"108","P0012","Dousha"
"109","P0012","Xionghuang"
"110","P0012","Xiyueshi"
"111","P0012","Qingmengshi"
"112","P0012","Xieshi"
"113","P0012","Xixiepo"
"114","P0012","Shexiang"
"115","P0012","Dameipian"
"116","P0013","Chuangong"
"117","P0013","Caowu"
"118","P0013","Banxia"
"119","P0013","Mahuang"
"120","P0013","Chansu"
"121","P0013","Tiannanxin"
"122","P0014","Badou"
"123","P0014","Ruxiang"
"124","P0014","Moyao"
"125","P0014","Banxia"
"126","P0014","Xishatou"
"127","P0014","Danggui"
"128","P0014","Xionghuang"
"129","P0014","Tubiechong"
"130","P0014","Xiangguazi"
"131","P0014","Xiejie"
"132","P0015","Tubiechong"
"133","P0015","Ruxiang"
"134","P0015","Moyao"
"135","P0015","Xiejie"
"136","P0015","Banxia"
"137","P0015","Danggui"
"138","P0015","Badou"
"139","P0015","Sharen"
"140","P0015","Xionghuang"
"141","P0015","Xiangtianguazi"
"142","P0016","Sumu"
"143","P0016","Zirantong"
"144","P0016","Ruxiang"
"145","P0016","Moyao"
"146","P0016","Xiejie"
"147","P0016","Shexiang"
"148","P0016","Honghua"
"149","P0016","Dingxiang"
"150","P0016","Mubiezi"
"151","P0017","Ruxiang"
"152","P0017","Moyao"
"153","P0017","Badou"
"154","P0017","Husuibu"
"155","P0017","Banxia"
"156","P0017","Danggui"
"157","P0017","Mangxiao"
"158","P0017","Dahuang"
"159","P0017","Xiejie"
"160","P0017","Zirantong"
"161","P0017","Wumingyi"
"162","P0018","Hugu"
"163","P0018","Guijia"
"164","P0018","Danggui"
"165","P0018","Rougui"
"166","P0018","Dilong"
"167","P0018","Liuxi"
"168","P0018","Liulu"
"169","P0018","Qilinxian"
"170","P0018","Zirantong"
"171","P0018","Yanhusuo"
"172","P0019","Baji"
"173","P0019","Danggui"
"174","P0019","Shengdihuang"
"175","P0019","Shaoyao"
"176","P0019","Chuangong"
"177","P0019","Dahuang"
"178","P0020","Baifuzi"
"179","P0020","Xuduan"
"180","P0020","Fangfeng"
"181","P0021","Jiegen"
"182","P0021","Baizhi"
"183","P0021","Gancao"
"184","P0021","Chuangong"
"185","P0021","Shangui"
"186","P0021","Xixin"
"187","P0021","Wuchuan"
"188","P0021","Xuduan"
"189","P0021","Danggui"
"190","P0021","Liuxi"
"191","P0021","Xiangfu"
"192","P0021","Huajiao"
"193","P0021","Chishao"
"194","P0021","Zelan"
"195","P0021","Baiyangpi"
"196","P0022","Baiyangpi"
"197","P0022","Jiegen"
"198","P0022","Chishao"
"199","P0022","Chuangong"
"200","P0022","Baizhi"
"201","P0022","Shangui"
"202","P0022","Xixin"
"203","P0022","Gancao"
"204","P0022","Huajiao"
"205","P0022","Wuchuan"
"206","P0022","Xuduan"
"207","P0022","Liuxi"
"208","P0022","Zelan"
"209","P0022","Danggui"
"210","P0022","Xiangfu"
"211","P0023","Chuangong"
"212","P0023","Chishao"
"213","P0023","Danggui"
"214","P0023","Baihe"
"215","P0023","Shengdihuang"
"216","P0023","Cebai"
"217","P0023","Jingjie"
"218","P0023","Xijiao"
"219","P0023","Mudanpi"
"220","P0023","Huangqin"
"221","P0023","Huanglian"
"222","P0023","Zhizi"
"223","P0023","Yujin"
"224","P0023","Dahuang"
"225","P0024","Baihe"
"226","P0024","Chuangong"
"227","P0024","Danggui"
"228","P0024","Baishao"
"229","P0024","Jingjie"
"230","P0025","Shengdihuang"
"231","P0025","Danggui"
"232","P0025","Baiji"
"233","P0025","Husuibu"
"234","P0025","Lurong"
"235","P0025","Xuduan"
"236","P0025","Heshouwu"
"237","P0025","Gancao"
"238","P0026","Buguzhi"
"239","P0026","Husuibu"
"240","P0026","Duzhong"
"241","P0026","Chuanliuxi"
"242","P0026","Xuduan"
"243","P0026","Roucongrong"
"244","P0026","Heidou"
"245","P0026","Danggui"
"246","P0026","Jixieteng"
"247","P0026","Sanqi"
"248","P0026","Hupo"
